,Rent,Occupancy,Attached BathRoom,AB,TV,AC,CUPBOARD,BEDDING,GEASER
0,5000,2,0,1,0,1,1,1,1
1,11000,1,0,0,0,0,0,0,0
2,7000,2,0,0,0,0,0,0,0
3,6500,3,0,0,0,0,0,0,0
4,15000,1,0,0,0,0,0,0,0
5,10000,2,0,0,0,0,0,0,0
6,6000,3,0,0,0,0,0,0,0
7,5500,4,0,0,0,0,0,0,0
8,10000,1,0,0,0,0,0,0,0
9,7000,2,0,0,0,0,0,0,0
10,6500,3,0,0,0,0,0,0,0
11,4000,2,0,0,0,0,0,0,0
12,4000,3,0,0,0,0,0,0,0
13,10000,1,0,0,0,0,0,0,0
14,8001,2,0,0,0,0,0,0,0
15,6500,3,0,0,0,0,0,0,0
16,0,4,0,0,0,0,0,0,0
17,10000,1,0,0,0,0,0,0,0
18,8500,2,0,0,0,0,0,0,0
19,6500,3,0,0,0,0,0,0,0
20,7000,1,0,0,0,0,0,0,0
21,6500,2,0,0,0,0,0,0,0
22,6500,3,0,0,0,0,0,0,0
23,6000,4,0,0,0,0,0,0,0
24,10000,1,0,0,0,0,0,0,0
25,8000,2,0,0,0,0,0,0,0
26,6500,3,0,0,0,0,0,0,0
27,10000,1,0,0,0,0,0,0,0
28,8000,2,0,0,0,0,0,0,0
29,6500,3,0,0,0,0,0,0,0
30,7000,2,0,0,0,0,0,0,0
31,7000,3,0,0,0,0,0,0,0
32,7000,2,0,0,0,0,0,0,0
33,6500,3,0,0,0,0,0,0,0
34,7000,2,0,0,0,0,0,0,0
35,6000,3,0,0,0,0,0,0,0
36,15000,1,0,0,0,0,0,0,0
37,8000,2,0,0,0,0,0,0,0
38,7500,3,0,0,0,0,0,0,0
39,14000,1,0,0,0,0,0,0,0
40,10000,2,0,0,0,0,0,0,0
41,9500,3,0,0,0,0,0,0,0
42,8500,4,0,0,0,0,0,0,0
43,15000,1,0,0,0,0,0,0,0
44,7500,2,0,0,0,0,0,0,0
45,7000,3,0,0,0,0,0,0,0
46,5500,4,0,0,0,0,0,0,0
47,0,1,0,0,0,0,0,0,0
48,4000,2,0,0,1,0,1,1,0
49,3500,3,1,1,1,0,1,1,0
50,3500,4,1,1,0,0,1,1,0
51,8000,2,0,0,0,0,0,0,0
52,7500,3,0,0,0,0,0,0,0
53,8500,2,0,0,0,0,0,0,0
54,7500,3,0,0,0,0,0,0,0
55,7500,2,0,0,0,0,0,0,0
56,7000,3,0,0,0,0,0,0,0
57,7500,2,0,0,0,0,0,0,0
58,7000,3,0,0,0,0,0,0,0
59,15000,1,0,1,0,0,1,1,1
60,7000,2,0,0,0,0,1,1,1
61,14000,1,1,1,0,1,1,1,1
62,6500,2,1,1,0,0,1,1,1
63,6000,3,1,1,1,0,1,1,1
