,Rent,Occupancy,Attached BathRoom,AB,TV,AC,CUPBOARD,BEDDING,GEASER
0,5000,DOUBLE,False,True,False,True,True,True,True
1,11000,SINGLE,False,False,False,False,False,False,False
2,7000,DOUBLE,False,False,False,False,False,False,False
3,6500,THREE,False,False,False,False,False,False,False
4,15000,SINGLE,False,False,False,False,False,False,False
5,10000,DOUBLE,False,False,False,False,False,False,False
6,6000,THREE,False,False,False,False,False,False,False
7,5500,FOUR,False,False,False,False,False,False,False
8,10000,SINGLE,False,False,False,False,False,False,False
9,7000,DOUBLE,False,False,False,False,False,False,False
10,6500,THREE,False,False,False,False,False,False,False
11,4000,DOUBLE,False,False,False,False,False,False,False
12,4000,THREE,False,False,False,False,False,False,False
13,10000,SINGLE,False,False,False,False,False,False,False
14,8001,DOUBLE,False,False,False,False,False,False,False
15,6500,THREE,False,False,False,False,False,False,False
16,0,FOUR,False,False,False,False,False,False,False
17,10000,SINGLE,False,False,False,False,False,False,False
18,8500,DOUBLE,False,False,False,False,False,False,False
19,6500,THREE,False,False,False,False,False,False,False
20,7000,SINGLE,False,False,False,False,False,False,False
21,6500,DOUBLE,False,False,False,False,False,False,False
22,6500,THREE,False,False,False,False,False,False,False
23,6000,FOUR,False,False,False,False,False,False,False
24,10000,SINGLE,False,False,False,False,False,False,False
25,8000,DOUBLE,False,False,False,False,False,False,False
26,6500,THREE,False,False,False,False,False,False,False
27,10000,SINGLE,False,False,False,False,False,False,False
28,8000,DOUBLE,False,False,False,False,False,False,False
29,6500,THREE,False,False,False,False,False,False,False
30,7000,DOUBLE,False,False,False,False,False,False,False
31,7000,THREE,False,False,False,False,False,False,False
32,7000,DOUBLE,False,False,False,False,False,False,False
33,6500,THREE,False,False,False,False,False,False,False
34,7000,DOUBLE,False,,,,,,
35,6000,THREE,False,,,,,,
36,15000,SINGLE,False,False,False,False,False,False,False
37,8000,DOUBLE,False,False,False,False,False,False,False
38,7500,THREE,False,False,False,False,False,False,False
39,14000,SINGLE,False,False,False,False,False,False,False
40,10000,DOUBLE,False,False,False,False,False,False,False
41,9500,THREE,False,False,False,False,False,False,False
42,8500,FOUR,False,False,False,False,False,False,False
43,15000,SINGLE,False,False,False,False,False,False,False
44,7500,DOUBLE,False,False,False,False,False,False,False
45,7000,THREE,False,False,False,False,False,False,False
46,5500,FOUR,False,False,False,False,False,False,False
47,0,SINGLE,False,,,,,,
48,4000,DOUBLE,False,False,True,False,True,True,False
49,3500,THREE,True,True,True,False,True,True,False
50,3500,FOUR,True,True,False,False,True,True,False
51,8000,DOUBLE,False,False,False,False,False,False,False
52,7500,THREE,False,False,False,False,False,False,False
53,8500,DOUBLE,False,False,False,False,False,False,False
54,7500,THREE,False,False,False,False,False,False,False
55,7500,DOUBLE,False,False,False,False,False,False,False
56,7000,THREE,False,False,False,False,False,False,False
57,7500,DOUBLE,False,False,False,False,False,False,False
58,7000,THREE,False,False,False,False,False,False,False
59,15000,SINGLE,False,True,False,False,True,True,True
60,7000,DOUBLE,False,False,False,False,True,True,True
61,14000,SINGLE,True,True,False,True,True,True,True
62,6500,DOUBLE,True,True,False,False,True,True,True
63,6000,THREE,True,True,True,False,True,True,True
64,7000,DOUBLE,True,True,False,False,True,True,True
65,6000,THREE,True,True,False,False,True,True,True
66,9000,SINGLE,True,True,True,True,True,True,True
67,8000,DOUBLE,True,True,True,True,True,True,True
68,7000,THREE,True,True,True,True,True,True,True
69,6000,DOUBLE,False,False,False,False,False,False,False
70,6000,DOUBLE,False,False,False,False,False,False,False
71,10000,SINGLE,True,True,False,True,True,True,True
72,7500,DOUBLE,True,True,False,True,True,True,True
73,6500,THREE,True,True,False,True,True,True,True
74,8000,DOUBLE,False,False,False,False,False,False,False
75,7500,THREE,False,False,False,False,False,False,False
76,8000,SINGLE,False,False,False,False,False,False,False
77,7000,DOUBLE,False,False,False,False,False,False,False
78,6000,THREE,False,False,False,False,False,False,False
79,7500,THREE,False,False,False,False,False,False,False
80,10000,DOUBLE,False,False,False,False,False,False,False
81,11000,DOUBLE,False,True,True,True,True,True,True
82,9500,THREE,False,True,True,True,True,True,True
83,7500,DOUBLE,False,False,False,False,False,False,False
84,6500,THREE,False,False,False,False,False,False,False
85,5500,FOUR,False,False,False,False,False,False,False
86,7500,DOUBLE,True,True,True,False,True,True,True
87,6500,THREE,True,True,True,False,True,True,True
88,5500,FOUR,True,True,True,False,True,True,True
89,7000,DOUBLE,False,False,False,False,False,False,False
90,6500,THREE,False,False,False,False,False,False,False
91,7500,DOUBLE,False,False,False,False,False,False,False
92,7000,THREE,False,False,False,False,False,False,False
93,7500,DOUBLE,False,False,False,False,False,False,False
94,7000,THREE,False,False,False,False,False,False,False
95,7500,DOUBLE,False,False,False,False,True,True,True
96,7500,DOUBLE,False,False,False,False,True,False,True
97,0,FOUR,False,False,False,False,False,False,False
98,8000,DOUBLE,False,False,False,False,False,False,False
99,7500,THREE,False,False,False,False,False,False,False
100,8000,DOUBLE,False,False,False,True,False,False,False
101,7500,THREE,False,False,False,True,False,False,False
102,8000,DOUBLE,False,False,False,False,False,False,False
103,7500,THREE,False,False,False,False,False,False,False
104,6500,DOUBLE,False,False,False,False,False,False,False
105,10000,SINGLE,False,False,False,False,False,False,False
106,7500,DOUBLE,False,False,False,False,False,False,False
107,6500,THREE,False,False,False,False,False,False,False
108,12000,SINGLE,True,True,False,False,True,True,True
109,8000,DOUBLE,True,True,True,False,True,False,True
110,8000,THREE,True,True,True,False,True,True,True
111,7500,FOUR,True,True,True,False,True,True,True
112,11000,SINGLE,False,False,False,False,False,False,False
113,7500,DOUBLE,False,False,False,False,False,False,False
114,6500,THREE,False,False,False,False,False,False,False
115,5500,FOUR,False,False,False,False,False,False,False
116,8000,SINGLE,True,True,False,False,True,True,True
117,7500,DOUBLE,True,True,False,False,True,True,True
118,6500,THREE,True,True,False,False,True,False,True
119,5500,FOUR,False,False,False,False,False,False,False
120,7500,DOUBLE,False,False,False,False,False,False,False
121,7000,THREE,False,False,False,False,False,False,False
122,7500,DOUBLE,False,False,False,False,False,False,False
123,7000,THREE,False,False,False,False,False,False,False
124,9500,DOUBLE,False,True,False,True,True,True,True
125,7500,THREE,False,True,False,True,True,True,True
126,15000,SINGLE,False,False,False,False,False,False,False
127,10000,DOUBLE,False,False,False,False,False,False,False
128,6000,THREE,False,False,False,False,False,False,False
129,5500,FOUR,False,False,False,False,False,False,False
130,15000,SINGLE,False,False,False,False,False,False,False
131,10000,DOUBLE,False,False,False,False,False,False,False
132,6000,THREE,False,False,False,False,False,False,False
133,5500,FOUR,False,False,False,False,False,False,False
134,7000,SINGLE,False,False,False,False,False,False,False
135,6000,DOUBLE,False,False,False,False,False,False,False
136,6000,THREE,False,False,False,False,False,False,False
137,7000,SINGLE,False,False,False,False,False,False,False
138,6000,DOUBLE,False,False,False,False,False,False,False
139,6000,THREE,False,False,False,False,False,False,False
140,10000,SINGLE,False,False,False,False,False,False,False
141,8000,DOUBLE,False,False,False,False,False,False,False
142,6500,THREE,False,False,False,False,False,False,False
143,10000,SINGLE,False,False,False,False,False,False,False
144,8000,DOUBLE,False,False,False,False,False,False,False
145,6500,THREE,False,False,False,False,False,False,False
146,7000,DOUBLE,True,True,False,False,True,True,False
147,6500,THREE,True,True,False,True,False,True,False
148,6500,THREE,False,True,False,True,True,True,True
149,8500,DOUBLE,False,False,False,False,False,False,False
150,8000,THREE,False,False,False,False,False,False,False
151,8500,DOUBLE,False,False,False,False,False,False,False
152,8000,THREE,False,False,False,False,False,False,False
153,7000,DOUBLE,False,True,False,False,True,True,False
154,7000,THREE,False,True,False,False,True,True,False
155,10000,SINGLE,False,False,False,False,False,False,False
156,8000,DOUBLE,False,False,False,False,False,False,False
157,7000,THREE,False,False,False,False,False,False,False
158,6500,FOUR,False,False,False,False,False,False,False
159,7000,DOUBLE,False,False,False,False,False,False,False
160,7500,DOUBLE,False,False,False,False,False,False,False
161,6500,THREE,False,False,False,False,False,False,False
162,7500,DOUBLE,False,False,False,False,False,False,False
163,7000,THREE,False,False,False,False,False,False,False
164,7000,DOUBLE,False,False,False,False,False,False,False
165,7500,DOUBLE,False,False,False,False,False,False,False
166,6500,THREE,False,False,False,False,False,False,False
167,15000,DOUBLE,False,False,False,False,False,False,False
168,12000,THREE,False,False,False,False,False,False,False
169,15000,DOUBLE,False,False,False,False,False,False,False
170,12000,THREE,False,False,False,False,False,False,False
171,4000,SINGLE,False,True,False,False,True,True,False
